2024-08-25 19:41:56.1724595116 IST +0530 | root | DEBUG | File constituting module is: /run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/Python-Classes-And-Objects-Tutorials/src/python_oop_tutorial_object_oriented_programming_overriding_methods/point/__init__.py
2024-08-25 19:41:56.1724595116 IST +0530 | root | DEBUG | Name of module is: __main__
2024-08-25 19:42:41.1724595161 IST +0530 | root | DEBUG | Name of module is: logging_configuration
2024-08-25 19:42:41.1724595161 IST +0530 | root | DEBUG | Path to module is: ['/run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/Python-Classes-And-Objects-Tutorials/src/logging_configuration']
2024-08-25 19:42:41.1724595161 IST +0530 | root | DEBUG | Name of module is: python_oop_tutorial_object_oriented_programming_overriding_methods
2024-08-25 19:42:41.1724595161 IST +0530 | root | DEBUG | Path to module is: ['/run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/Python-Classes-And-Objects-Tutorials/src/python_oop_tutorial_object_oriented_programming_overriding_methods']
2024-08-25 19:42:41.1724595161 IST +0530 | root | DEBUG | File constituting module is: /run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/Python-Classes-And-Objects-Tutorials/src/python_oop_tutorial_object_oriented_programming_overriding_methods/__init__.py
2024-08-25 19:42:41.1724595161 IST +0530 | root | DEBUG | Name of module is: python_oop_tutorial_object_oriented_programming_overriding_methods.point
2024-08-25 19:42:41.1724595161 IST +0530 | root | DEBUG | Path to module is: ['/run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/Python-Classes-And-Objects-Tutorials/src/python_oop_tutorial_object_oriented_programming_overriding_methods/point']
2024-08-25 19:42:41.1724595161 IST +0530 | root | DEBUG | File constituting module is: /run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/Python-Classes-And-Objects-Tutorials/src/python_oop_tutorial_object_oriented_programming_overriding_methods/point/__init__.py
2024-08-25 19:42:41.1724595161 IST +0530 | root | DEBUG | Name of module is: __main__
2024-08-25 19:42:41.1724595161 IST +0530 | root | DEBUG | File constituting module is: /run/media/ramumsrk/1.0TiB/repositories/Python-Programming-Language-CPython/Python-Classes-And-Objects-Tutorials/src/main_overriding_methods.py
2024-08-25 19:42:41.1724595161 IST +0530 | root | DEBUG | self=<python_oop_tutorial_object_oriented_programming_overriding_methods.point.point.Point object at 0x7fe018a68a40>
2024-08-25 19:42:41.1724595161 IST +0530 | root | DEBUG | self.__class__=<class 'python_oop_tutorial_object_oriented_programming_overriding_methods.point.point.Point'>
2024-08-25 19:42:41.1724595161 IST +0530 | root | DEBUG | self.__dict__={'x_coordinate': 3, 'y_coordinate': 4}
2024-08-25 19:42:41.1724595161 IST +0530 | root | DEBUG | self=<python_oop_tutorial_object_oriented_programming_overriding_methods.point.point.Point object at 0x7fe01f0b9c70>
2024-08-25 19:42:41.1724595161 IST +0530 | root | DEBUG | self.__class__=<class 'python_oop_tutorial_object_oriented_programming_overriding_methods.point.point.Point'>
2024-08-25 19:42:41.1724595161 IST +0530 | root | DEBUG | self.__dict__={'x_coordinate': 3, 'y_coordinate': 2}
